material_id;diameter;body_length;wall_thickness;laminate;shoulder;closure;closure_material;packaging_code;lacquer;printing_document;customer_id
268005;50.0;180;0.5;;P-2100Z01100;VS2148030008;617586;VPU054;LA0143;PDXXXXXX;100642
268021;40.0;170;0.5;;P-2100Z01100;VS2138040004;612983;VPU051;LA0172;PD058848;100643
268022;25.0;142;0.5;PF0404;N-18000F0040;HF1825040R02;611612;VP0295;LA0180;PD050039;100453
268023;40.0;140;0.5;;P-2100Z00100;VS2138015M06;611681;VK40201;LA0173;PD050040;100453
268024;19.0;65;0.4;;N-1110002025;H-1119050002;607597;VPU035;LA0172;PD070019;100468
268025;50.0;180;0.5;;P-2100Z01100;VS2148030008;617584;VPU054;LA0143;PDXXXXXX;100642
268028;50.0;180;0.5;;P-2100Z01100;VS2148030008;617581;VPU054;LA0143;PDXXXXXX;100642
268037;35.0;135;0.5;;N-15D0001050;HS1534050M02;617598;VPU046;LA0173;PD070149;100642
268041;35.0;135;0.5;;N-15D0001050;HS1534050M02;617598;VPU046;LA0143;PDXXXXXX;100642
268042;35.0;135;0.5;;N-15D0001050;HS1534050M02;617598;VPU046;LA0173;PD070148;100642
268043;35.0;135;0.5;;N-15D0001050;HS1534050M02;617598;VPU046;LA0143;PDXXXXXX;100642
268083;19.0;110;0.4;;N-1110002025;H-1119050M02;612728;VPU034;LA0142;PDXXXXXX;101069
268084;19.0;110;0.4;;N-1110002025;H-1119050M02;612728;VPU034;LA0142;PDXXXXXX;101069
268085;25.0;105;0.4;;N-1110002025;HI1124057003;616727;VPU036;LA0142;PDXXXXXX;101069
268086;30.0;110;0.5;;N-15D0001025;H-1530090002;607593;VPU040;LA0142;PDXXXXXX;101069
268101;19.0;83;0.4;;K-0900001015;HC0918015002;611185;VPU035;LA0172;PD070051;100643
268102;19.0;83;0.4;;K-0900001015;HC0918015002;611185;VPU035;LA0172;PD070031;100643
268105;25.0;80;0.4;;N-1110002025;H-1125050M02;617505;VPU036;LA0143;PD052967;100646
268183;25.0;105;0.4;;N-1110002025;HI1124057003;616727;VPU036;LA0142;PDXXXXXX;101069
268184;25.0;105;0.4;;N-1110002025;HI1124057003;616727;VPU036;LA0142;PDXXXXXX;101069
268190;19.0;85;0.4;;N-1110002015;H-1119050002;617576;VPU035;LA0142;PDXXXXXX;100643
268237;19.0;83;0.4;;K-0900001015;HC0918015002;611341;VPU035;LAXXXX;PDXXXXXX;100643
